,Identifies the type of dwelling involved in the sale.,Identifies the general zoning classification of the sale.,Linear feet of street connected to the property,plot size in square feet,Type of road access to property,General shape of property,Flatness of the property,Utilities,LotConfig,Slope of property,Neighborhood,Proximity to various conditions,Type of dwelling,Style of dwelling,Rates the overall material and finish of the house,Rates the overall condition of the house,Original construction date,Remodel date (same as construction date if no remodeling or additions),Type of roof,Roof material,Exterior covering on the house & Exterior covering on house (if more than one material),Masonry veneer type,Masonry veneer area in square feet,Evaluates the quality of the material on the exterior & Evaluates the present condition of the material on the exterior ,Type of foundation,Evaluates the height of the basement,Evaluate the general condition of the basement & Refers to walkout or garden-level walls,Rating of basement finished area,Type 1 finished square feet,Rating of basement finished area (if multiple types),Type 2 finished square feet,Unfinished square feet of basement area,Total square feet of basement area,Type of heating,HeatingQC,Central air conditioning,Electrical,First Floor square feet,Second-floor square feet,Low-quality finished square feet (all floors),Above grade (ground) living area square feet,Full bathrooms above grade,Half baths above grade,BedroomAbvGr,KitchenAbvGr,KitchenQual, Total rooms above grade (does not include bathrooms),Home functionality (Assume typical unless deductions are warranted),Number of fireplaces,Fireplace quality,Garage location,The year garage was built,GarageFinish,Size of garage in car capacity,Size of garage in square feet,GarageQual,GarageCond,Paved driveway,Wood deck area in square feet,Open porch area in square feet,Enclosed porch area in square feet,Three-season porch area in square feet,Screen porch area in square feet,Pool area in square feet,Pool quality,Fence,Miscellaneous feature not covered in other categories, $Value of miscellaneous feature,Month Sold (MM) & Year Sold (YYYY),Type of sale,Condition of sale,SalePrice
1232,DUPLEX - ALL STYLES AND AGES,Residential Low-Density,70,9842sqare feet,Paved,Regular,Near Flat/Level,AllPub,Frontage on 2 sides of the property,Gentle slope,NAmes,Normal,Duplex,One story,4,5,1962,1962,Gable,Standard (Composite) Shingle,Hard Board,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Slab,No,No& No Exposure,No,0,No,0,0,0,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1224,0,0square feet,1224,2,0,2,2,Typical/Average,6,Typical Functionality,0,No,Car Port,1962.0,Unf,2,462square feet,Typical/Average,TA,Paved,0square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Mar&2007,Warranty Deed - Conventional,Normal Sale,101800
1233,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,12160sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,NAmes,Normal,Single-family Detached,One story,5,5,1959,1959,Hip,Standard (Composite) Shingle,Plywood,Brick Face,180squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Rec,1000,Unfinished,0,188,1188,Gas forced warm air furnace,Fair,Yes,SBrkr,1188,0,0square feet,1188,1,0,3,1,Typical/Average,6,Typical Functionality,0,No,Attached to the home,1959.0,RFn,2,531square feet,Typical/Average,TA,Paved,0square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,Minimum Privacy,No,0,May&2010,Court Officer Deed/Estate,"Abnormal Sale -  trade, foreclosure, short sale",142000
1234,2-STORY 1945 & OLDER,Residential High-Density,55,8525sqare feet,Paved,Regular,Banked - Quick and significant rise from street grade to building,AllPub,Inside,Gentle slope,SWISU,Normal,Single-family Detached,Two-story,5,6,1911,1950,Gable,Standard (Composite) Shingle,Metal Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed&Average Exposure (split levels or foyers typically score average or above),Unf,0,Unfinished,0,940,940,Gas forced warm air furnace,Average/Typical,No,FuseA,1024,940,0square feet,1964,1,1,4,1,Typical/Average,7,Typical Functionality,0,No,No,,No,0,0square feet,No,No,Dirt/Gravel,0square feet,192square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Nov&2008,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",130000
1235,2-STORY 1945 & OLDER,Residential Low-Density,96,13132sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,Crawfor,Normal,Single-family Detached,Two-story,5,5,1914,1950,Gable,Standard (Composite) Shingle,Wood Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Brick & Tile,Good (90-99 inches),Typical - slight dampness allowed&Mimimum Exposure,Unf,0,Unfinished,0,747,747,Gas forced warm air furnace,Good,Yes,FuseF,892,892,0square feet,1784,1,1,4,1,Typical/Average,9,Typical Functionality,0,No,Detached from home,1914.0,Unf,1,180square feet,Fair,Fa,Dirt/Gravel,203square feet,40square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jul&2006,Warranty Deed - Conventional,Normal Sale,138887
1236,2-STORY PUD - 1946 & NEWER,Residential Low-Density,36,2628sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,NridgHt,Normal,Twnhs,Two-story,7,5,2003,2003,Gable,Standard (Composite) Shingle,Vinyl Siding&Wd Shng,Stone ,106squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,764,764,Gas forced warm air furnace,Excellent,Yes,SBrkr,764,862,0square feet,1626,2,1,2,1,Good,6,Typical Functionality,0,No,Built-In (Garage part of the house - typically has room above the garage),2003.0,RFn,2,474square feet,Typical/Average,TA,Paved,0square feet,27square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jun&2010,Warranty Deed - Conventional,Normal Sale,175500
1237,2-STORY 1946 & NEWER,Residential Low-Density,41,12393sqare feet,Paved,Moderately Irregular,Near Flat/Level,AllPub,Frontage on 2 sides of the property,Gentle slope,CollgCr,Normal,Single-family Detached,Two-story,7,5,2004,2005,Gable,Standard (Composite) Shingle,Vinyl Siding,,0squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,847,847,Gas forced warm air furnace,Excellent,Yes,SBrkr,847,1101,0square feet,1948,2,1,4,1,Good,8,Typical Functionality,1,Good - Masonry Fireplace on the main level,Built-In (Garage part of the house - typically has room above the garage),2004.0,Fin,2,434square feet,Typical/Average,TA,Paved,100square feet,48square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Sep&2006,Warranty Deed - Conventional,Normal Sale,195000
1238,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,63,13072sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,SawyerW,Adjacent to East-West Railroad&Normal,Single-family Detached,One story,6,5,2005,2005,Gable,Standard (Composite) Shingle,Vinyl Siding,,0squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,1141,1141,Gas forced warm air furnace,Excellent,Yes,SBrkr,1141,0,0square feet,1141,1,1,3,1,Typical/Average,6,Typical Functionality,0,No,Detached from home,2005.0,Unf,2,484square feet,Typical/Average,TA,Paved,0square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Mar&2006,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",142500
1239,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,64,9037sqare feet,Paved,Slightly irregular,Hillside - Significant slope from side to side,AllPub,Inside,Gentle slope,Timber,Normal,Single-family Detached,One story,8,5,2006,2006,Hip,Standard (Composite) Shingle,Vinyl Siding,Brick Face,32squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed&Average Exposure (split levels or foyers typically score average or above),GLQ,428,Unfinished,0,1048,1476,Gas forced warm air furnace,Excellent,Yes,SBrkr,1484,0,0square feet,1484,2,0,2,1,Excellent,6,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2006.0,RFn,2,472square feet,Typical/Average,TA,Paved,120square feet,33square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Dec&2007,Warranty Deed - Conventional,Normal Sale,265900
1240,2-STORY 1946 & NEWER,Residential Low-Density,65,8158sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,CollgCr,Normal,Single-family Detached,Two-story,7,5,2003,2003,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,252squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,GLQ,550,Unfinished,0,334,884,Gas forced warm air furnace,Excellent,Yes,SBrkr,884,884,0square feet,1768,2,1,3,1,Good,8,Typical Functionality,0,No,Attached to the home,2003.0,RFn,2,543square feet,Typical/Average,TA,Paved,0square feet,63square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jul&2008,Warranty Deed - Conventional,Normal Sale,224900
1241,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,83,9849sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,Somerst,Normal,Single-family Detached,One story,7,6,2007,2007,Hip,Standard (Composite) Shingle,Vinyl Siding,Stone ,0squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed&Average Exposure (split levels or foyers typically score average or above),Unf,0,Unfinished,0,1689,1689,Gas forced warm air furnace,Excellent,Yes,SBrkr,1689,0,0square feet,1689,2,0,3,1,Good,7,Typical Functionality,0,No,Attached to the home,2007.0,RFn,3,954square feet,Typical/Average,TA,Paved,0square feet,56square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jun&2007,Home just constructed and sold, Home was not completed when last assessed (associated with New  Homes),248328
1242,SPLIT FOYER,Residential Low-Density,85,10625sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,NWAmes,Normal,Single-family Detached,Split Foyer,7,6,1974,1974,Gable,Standard (Composite) Shingle,Plywood,Brick Face,81squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Good (90-99 inches),Typical - slight dampness allowed&Good Exposure,GLQ,885,Low Quality,168,0,1053,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1173,0,0square feet,1173,2,0,3,1,Good,6,Typical Functionality,2,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1974.0,RFn,2,528square feet,Typical/Average,TA,Paved,0square feet,120square feet,0square feet,0square feet,0square feet,0square feet,No,Minimum Privacy,No,0,Jan&2010,Warranty Deed - Conventional,Sale between family members,170000
1243,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,107,13891sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,NridgHt,Normal,Single-family Detached,One story,10,5,2006,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,,0squarefeetsqare feet,Excellent&['ExterCond'],Poured Contrete,Excellent (100+ inches),Good&Good Exposure,GLQ,1386,Unfinished,0,690,2076,Gas forced warm air furnace,Excellent,Yes,SBrkr,2076,0,0square feet,2076,2,1,2,1,Excellent,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2006.0,Fin,3,850square feet,Typical/Average,TA,Paved,216square feet,229square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Sep&2006,Home just constructed and sold, Home was not completed when last assessed (associated with New  Homes),465000
1244,2-STORY 1945 & OLDER,Residential Low-Density,0,11435sqare feet,Paved,Slightly irregular,Hillside - Significant slope from side to side,AllPub,Corner,Moderate Slope,Crawfor,Normal,Single-family Detached,Two-story,8,7,1929,1950,Gable,Standard (Composite) Shingle,Brick Face&Stucco,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,792,792,Gas forced warm air furnace,Fair,Yes,SBrkr,792,725,0square feet,1517,1,0,3,1,Good,7,Typical Functionality,2,Good - Masonry Fireplace on the main level,Detached from home,1931.0,Unf,2,400square feet,Typical/Average,TA,Paved,0square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jun&2006,Warranty Deed - Conventional,Normal Sale,230000
1245,SPLIT OR MULTI-LEVEL,Residential Low-Density,78,12090sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,NWAmes,Normal,Single-family Detached,Split Level,6,7,1984,2003,Hip,Standard (Composite) Shingle,Vinyl Siding,Brick Face,74squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,585,585,Gas forced warm air furnace,Excellent,Yes,SBrkr,1140,728,0square feet,1868,3,1,3,1,Typical/Average,7,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Built-In (Garage part of the house - typically has room above the garage),1984.0,Fin,2,477square feet,Typical/Average,TA,Paved,268square feet,112square feet,0square feet,0square feet,147square feet,0square feet,No,No,No,0,Jan&2007,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",178000
1246,2-STORY 1946 & NEWER,Floating Village Residential,65,8125sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,Somerst,Normal,Single-family Detached,Two-story,7,5,2005,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,,0squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,756,756,Gas forced warm air furnace,Excellent,Yes,SBrkr,756,797,0square feet,1553,2,1,3,1,Good,6,Typical Functionality,0,No,Attached to the home,2005.0,RFn,2,615square feet,Typical/Average,TA,Paved,0square feet,45square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Mar&2006,Home just constructed and sold, Home was not completed when last assessed (associated with New  Homes),186500
1247,SPLIT OR MULTI-LEVEL,Residential Low-Density,0,12328sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,Mitchel,Normal,Single-family Detached,Split Level,6,5,1976,1976,Gable,Standard (Composite) Shingle,Hard Board,Brick Face,335squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed&Average Exposure (split levels or foyers typically score average or above),GLQ,539,Unfinished,0,473,1012,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1034,0,0square feet,1034,1,0,3,1,Typical/Average,6,Typical Functionality,0,No,Attached to the home,1976.0,Unf,3,888square feet,Typical/Average,TA,Paved,0square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,May&2010,Warranty Deed - Conventional,Normal Sale,169900
1248,2-1/2 STORY ALL AGES,RM,60,9600sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,OldTown,Normal,Single-family Detached,Two and one-half story: 2nd level unfinished,6,5,1917,1950,Gable,Standard (Composite) Shingle,Asbestos Shingles,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Brick & Tile,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,Rec,319,Unfinished,0,416,735,Hot water or steam heat other than gas,Fair,No,SBrkr,1134,924,0square feet,2058,1,1,3,1,Typical/Average,8,Typical Functionality,1,Good - Masonry Fireplace on the main level,Detached from home,1950.0,Unf,2,396square feet,Fair,Fa,Partial Pavement,0square feet,0square feet,259square feet,0square feet,0square feet,0square feet,No,No,No,0,Apr&2008,Warranty Deed - Conventional,Normal Sale,129500
1249,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,60,7200sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,NAmes,Normal,Single-family Detached,One story,5,7,1950,1950,Gable,Standard (Composite) Shingle,Metal Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,BLQ,534,Average Rec Room,96,246,876,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,988,0,0square feet,988,1,0,3,1,Typical/Average,6,Typical Functionality,0,No,Attached to the home,1950.0,Unf,1,276square feet,Typical/Average,TA,Paved,0square feet,80square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,May&2007,Warranty Deed - Conventional,Normal Sale,119000
1250,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,93,11160sqare feet,Paved,Regular,Near Flat/Level,AllPub,Corner,Gentle slope,NAmes,Normal,Single-family Detached,One story,7,5,1968,1968,Hip,Standard (Composite) Shingle,Brick Face,,0squarefeetsqare feet,Good&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,ALQ,1065,Unfinished,0,1045,2110,Gas forced warm air furnace,Excellent,Yes,SBrkr,2110,0,0square feet,2110,2,1,3,1,Excellent,8,Typical Functionality,2,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1968.0,Fin,2,522square feet,Typical/Average,TA,Paved,0square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Apr&2010,Warranty Deed - Conventional,Normal Sale,244000
1251,STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,0,3136sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Corner,Gentle slope,NridgHt,Normal,Townhouse End Unit,One story,7,5,2003,2003,Gable,Standard (Composite) Shingle,Vinyl Siding&Wd Shng,Stone ,163squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,1405,1405,Gas forced warm air furnace,Excellent,Yes,SBrkr,1405,0,0square feet,1405,2,0,2,1,Good,6,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2003.0,RFn,2,478square feet,Typical/Average,TA,Paved,148square feet,36square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Mar&2006,Warranty Deed - Conventional,Normal Sale,171750
1252,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,62,9858sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,Mitchel,Normal,Single-family Detached,One story,5,6,1968,1968,Gable,Standard (Composite) Shingle,Hard Board,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,BLQ,510,Unfinished,0,354,864,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,874,0,0square feet,874,1,0,3,1,Typical/Average,5,Typical Functionality,0,No,Attached to the home,1968.0,RFn,1,288square feet,Typical/Average,TA,Paved,33square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,Good Wood,Shed (over 100 SF),600,Nov&2009,Warranty Deed - Conventional,Normal Sale,130000
1253,2-STORY 1946 & NEWER,Residential Low-Density,0,17542sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,Veenker,Normal,Single-family Detached,Two-story,7,7,1974,2003,Gable,Standard (Composite) Shingle,Wood Siding,,0squarefeetsqare feet,Good&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed&Good Exposure,LwQ,125,Average Living Quarters,1031,36,1192,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1516,651,0square feet,2167,2,1,3,1,Good,9,Typical Functionality,2,Good - Masonry Fireplace on the main level,Attached to the home,1974.0,RFn,2,518square feet,Typical/Average,TA,Paved,220square feet,47square feet,0square feet,0square feet,0square feet,0square feet,No,Minimum Privacy,No,0,Jul&2007,Warranty Deed - Conventional,Normal Sale,294000
1254,2-STORY 1946 & NEWER,Residential Low-Density,60,6931sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,Edwards,Normal,Single-family Detached,Two-story,7,5,2003,2004,Gable,Standard (Composite) Shingle,Vinyl Siding,Stone ,92squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,746,746,Gas forced warm air furnace,Excellent,Yes,SBrkr,760,896,0square feet,1656,2,1,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Built-In (Garage part of the house - typically has room above the garage),2003.0,Fin,2,397square feet,Typical/Average,TA,Paved,178square feet,128square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jul&2008,Warranty Deed - Conventional,Normal Sale,165400
1255,1-1/2 STORY FINISHED ALL AGES,RM,52,6240sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,BrkSide,Normal,Single-family Detached,One and one-half story: 2nd level finished,6,6,1931,1950,Gable,Standard (Composite) Shingle,Wood Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Brick & Tile,Typical (80-89 inches),Fair - dampness or some cracking or settling& No Exposure,LwQ,425,Unfinished,0,459,884,Gas forced warm air furnace,Average/Typical,Yes,FuseA,959,408,0square feet,1367,1,0,3,1,Typical/Average,6,Typical Functionality,1,Good - Masonry Fireplace on the main level,Detached from home,1978.0,Unf,1,560square feet,Typical/Average,TA,Paved,0square feet,0square feet,0square feet,0square feet,120square feet,0square feet,No,No,No,0,Nov&2007,Warranty Deed - Conventional,Normal Sale,127500
1256,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,91,14303sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Corner,Gentle slope,NoRidge,Normal,Single-family Detached,One story,8,5,1994,1994,Hip,Standard (Composite) Shingle,Hard Board,Brick Face,554squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed&Good Exposure,GLQ,1314,Unfinished,0,672,1986,Gas forced warm air furnace,Excellent,Yes,SBrkr,1987,0,0square feet,1987,2,0,2,1,Good,7,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1994.0,Fin,2,691square feet,Typical/Average,TA,Paved,262square feet,36square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Aug&2008,Warranty Deed - Conventional,Normal Sale,301500
1257,1-STORY 1945 & OLDER,Residential Low-Density,56,4060sqare feet,Paved,Regular,Near Flat/Level,AllPub,Corner,Gentle slope,Edwards,Adjacent to feeder street&Normal,Single-family Detached,One story,5,8,1922,1950,Gable,Standard (Composite) Shingle,Wood Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Poured Contrete, Fair (70-79 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,864,864,Gas forced warm air furnace,Excellent,Yes,SBrkr,864,0,0square feet,864,1,0,2,1,Typical/Average,4,Typical Functionality,0,No,No,,No,0,0square feet,No,No,Paved,0square feet,96square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jul&2009,Warranty Deed - Conventional,Normal Sale,99900
1258,SPLIT OR MULTI-LEVEL,Residential Low-Density,59,9587sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,Gilbert,Normal,Single-family Detached,Split Level,7,5,2005,2005,Gable,Standard (Composite) Shingle,Vinyl Siding,Stone ,182squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed&Good Exposure,GLQ,655,Unfinished,0,201,856,Gas forced warm air furnace,Excellent,Yes,SBrkr,1166,0,0square feet,1166,2,0,2,1,Good,5,Typical Functionality,0,No,Attached to the home,2005.0,Fin,2,400square feet,Typical/Average,TA,Paved,212square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jul&2008,Warranty Deed - Conventional,Normal Sale,190000
1259,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,65,9750sqare feet,Paved,Regular,Near Flat/Level,AllPub,Frontage on 2 sides of the property,Gentle slope,NAmes,Normal,Single-family Detached,One story,6,8,1969,1969,Gable,Standard (Composite) Shingle,Hard Board,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,ALQ,602,Low Quality,438,14,1054,Gas forced warm air furnace,Good,Yes,SBrkr,1054,0,0square feet,1054,1,1,3,1,Typical/Average,6,Typical Functionality,0,No,Attached to the home,1969.0,Unf,2,460square feet,Typical/Average,TA,Paved,180square feet,0square feet,0square feet,0square feet,80square feet,0square feet,No,No,No,0,Jul&2008,Warranty Deed - Conventional,Normal Sale,151000
1260,2-STORY 1946 & NEWER,Residential Low-Density,0,24682sqare feet,Paved,Irregular,Near Flat/Level,AllPub,CulDSac,Gentle slope,Gilbert,RRAn&Normal,Single-family Detached,Two-story,6,5,1999,1999,Gable,Standard (Composite) Shingle,Vinyl Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,841,841,Gas forced warm air furnace,Excellent,Yes,SBrkr,892,783,0square feet,1675,2,1,3,1,Typical/Average,7,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Built-In (Garage part of the house - typically has room above the garage),1999.0,Fin,2,502square feet,Typical/Average,TA,Paved,0square feet,103square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jun&2009,Warranty Deed - Conventional,Normal Sale,181000
1261,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,80,9600sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,NAmes,Normal,Single-family Detached,One story,5,6,1956,1956,Hip,Standard (Composite) Shingle,Metal Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Rec,504,Unfinished,0,546,1050,Gas forced warm air furnace,Good,Yes,SBrkr,1050,0,0square feet,1050,1,0,2,1,Typical/Average,5,Typical Functionality,0,No,Attached to the home,1956.0,Unf,1,338square feet,Typical/Average,TA,Paved,0square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jun&2009,Warranty Deed - Conventional,Normal Sale,128900
1262,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,0,11250sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,ClearCr,Normal,Single-family Detached,One and one-half story: 2nd level finished,4,5,1957,1989,Gable,Standard (Composite) Shingle,Wood Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed&Average Exposure (split levels or foyers typically score average or above),Unf,0,Unfinished,0,1104,1104,Gas forced warm air furnace,Excellent,Yes,FuseA,1104,684,0square feet,1788,1,0,5,1,Typical/Average,8, Minor Deductions 2,2,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1957.0,Unf,1,304square feet,Typical/Average,TA,Paved,120square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Nov&2009,Warranty Deed - Conventional,Normal Sale,161500
1263,2-STORY 1945 & OLDER,Residential Low-Density,60,13515sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,BrkSide,Normal,Single-family Detached,Two-story,6,6,1919,1950,Gambrel,Standard (Composite) Shingle,Wood Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,764,764,Gas forced warm air furnace,Excellent,Yes,FuseA,1060,764,0square feet,1824,1,0,3,1,Typical/Average,8,Typical Functionality,1,Good - Masonry Fireplace on the main level,Detached from home,1940.0,Unf,2,520square feet,Typical/Average,TA,Dirt/Gravel,0square feet,0square feet,126square feet,0square feet,0square feet,0square feet,No,Good Privacy,No,0,Jul&2007,Warranty Deed - Conventional,Normal Sale,180500
